Type,adjusted_time_hours,Price
ask,779.0,151.95566265060242
ask,780.0,153.69021739130434
ask,781.0,149.647171620326
ask,782.0,149.58345498783456
ask,783.0,150.71212883744337
ask,784.0,151.45963060686015
ask,785.0,151.8157070585401
ask,786.0,148.8486609398686
ask,787.0,144.1283653846154
ask,788.0,146.60754899588676
ask,789.0,146.33265765765765
ask,790.0,144.77524659464538
ask,791.0,145.9399098647972
ask,792.0,144.97388247112005
ask,793.0,143.66121842496284
ask,794.0,142.90201005025125
ask,795.0,142.80020597322348
ask,796.0,141.74734982332154
ask,797.0,141.13908533710514
ask,798.0,139.80426129712012
ask,799.0,141.9554011653967
ask,800.0,140.51170009551097
ask,801.0,138.23533535872866
ask,802.0,138.65932243544185
ask,803.0,138.69956083699302
ask,804.0,142.88222276862552
ask,805.0,143.33238501659554
ask,806.0,146.1416687673305
ask,807.0,147.26731996353692
ask,808.0,146.65340474368784
ask,809.0,145.76956839795173
ask,810.0,146.84720584767743
ask,811.0,147.71081628063862
ask,812.0,147.3978395771087
ask,813.0,146.82837967401727
ask,814.0,148.2988065750957
ask,815.0,148.1579079708323
ask,816.0,149.83875598086124
ask,817.0,146.91744312026003
ask,818.0,145.7331651954603
ask,819.0,145.29146459747818
ask,820.0,143.647301895965
ask,821.0,141.35298544907175
ask,822.0,140.94078509647372
ask,823.0,141.2560975609756
ask,824.0,140.36299100804544
ask,825.0,139.35162401574803
ask,826.0,138.27761557177615
ask,827.0,138.33019827147942
ask,828.0,138.42867943548387
ask,829.0,136.78723932472693
ask,830.0,138.2973174366617
ask,831.0,137.40577290076337
ask,832.0,136.61768431720293
ask,833.0,136.30568774076593
ask,834.0,137.11849153631883
ask,835.0,134.98080279232113
ask,836.0,133.7147619047619
ask,837.0,131.98673801768265
ask,838.0,134.1793573943662
ask,839.0,134.97919293820934
ask,840.0,132.63223824155045
ask,841.0,134.1626476377953
ask,842.0,134.97653890824623
ask,843.0,132.78691774033697
ask,844.0,134.7877024291498
ask,845.0,136.45448211797492
ask,846.0,138.14985163204747
ask,847.0,139.14055080721747
ask,848.0,136.98893916540976
ask,849.0,136.4188118811881
ask,850.0,135.18410718410718
ask,851.0,136.19087947882736
ask,852.0,132.49635220125785
ask,853.0,131.7471264367816
ask,854.0,128.8360097323601
ask,855.0,130.33515309755518
ask,856.0,129.25991189427313
ask,857.0,129.2871769868357
ask,858.0,126.97354771784232
ask,859.0,127.59599820143885
ask,860.0,127.13528722157092
ask,861.0,124.3684967633661
ask,862.0,125.06565290852039
ask,863.0,127.7637687756031
ask,864.0,125.42341250605914
ask,865.0,127.00415953021776
ask,866.0,126.40354660915409
ask,867.0,124.98052268244577
ask,868.0,125.3967213114754
ask,869.0,124.66595441595442
ask,870.0,122.04855072463768
ask,871.0,121.65413891531874
ask,872.0,120.80554907903941
ask,873.0,120.09207346544224
ask,874.0,121.60048367593713
ask,875.0,121.14639961850263
ask,876.0,120.22071733132681
ask,877.0,120.32748839608045
ask,878.0,118.81769092311649
ask,879.0,118.97369765066394
ask,880.0,119.27795294688333
ask,881.0,119.24933814681107
