Type,adjusted_time_minutes,ASK Price Predicted
ask,10312,97.35014
ask,10313,97.368866
ask,10314,97.38221
ask,10315,97.39145
ask,10316,96.937
ask,10317,97.10201
ask,10318,97.20515
ask,10319,97.26217
ask,10320,97.30215
ask,10321,97.33358
ask,10322,97.35737
ask,10323,97.05157
ask,10324,97.17595
ask,10325,97.25426
ask,10326,97.298355
ask,10327,97.32923
ask,10328,96.78916
ask,10329,96.680664
ask,10330,96.92852
ask,10331,96.75229
ask,10332,96.95654
ask,10333,97.095345
ask,10334,96.86388
ask,10335,97.041855
ask,10336,97.160545
ask,10337,97.23409
ask,10338,96.96292
ask,10339,96.79079
ask,10340,97.00117
ask,10341,97.12941
ask,10342,97.20842
ask,10343,97.265976
ask,10344,97.30975
ask,10345,97.34173
ask,10346,97.04135
ask,10347,97.06152
ask,10348,97.025894
ask,10349,97.1486
ask,10350,97.22679
ask,10351,97.27878
ask,10352,97.209435
ask,10353,97.215744
ask,10354,97.28063
ask,10355,96.99808
ask,10356,97.13666
ask,10357,96.902954
ask,10358,96.423485
ask,10359,96.75485
ask,10360,96.96191
ask,10361,96.76438
ask,10362,96.967
ask,10363,96.78378
ask,10364,96.66303
ask,10365,96.58599
ask,10366,96.57365
ask,10367,96.51753
ask,10368,96.80108
ask,10369,96.34178
ask,10370,96.20412
ask,10371,96.60121
ask,10372,96.84943
ask,10373,97.008705
ask,10374,96.866844
ask,10375,96.72115
ask,10376,96.14818
ask,10377,96.249825
ask,10378,96.55289
ask,10379,96.65644
ask,10380,96.88073
ask,10381,97.03866
ask,10382,97.14976
ask,10383,96.30822
ask,10384,96.04108
ask,10385,96.50538
ask,10386,96.61511
ask,10387,96.84705
ask,10388,97.01177
ask,10389,97.129776
ask,10390,97.215485
ask,10391,97.2769
ask,10392,97.31998
ask,10393,97.3497
ask,10394,97.37001
ask,10395,97.38378
ask,10396,97.393036
ask,10397,97.07633
ask,10398,96.72911
ask,10399,96.640465
ask,10400,96.893845
ask,10401,96.72488
ask,10402,96.46367
ask,10403,96.77268
ask,10404,96.97081
ask,10405,97.09578
ask,10406,97.18596
ask,10407,97.136215
ask,10408,97.22652
ask,10409,97.201706
ask,10410,97.26934
ask,10411,96.99128
ask,10412,97.13289
ask,10413,97.223625
ask,10414,96.9543
ask,10415,97.104355
ask,10416,96.912605
ask,10417,97.07348
ask,10418,97.17862
ask,10419,96.92224
ask,10420,97.08229
ask,10421,97.188126
ask,10422,97.252625
ask,10423,97.29794
ask,10424,97.009125
ask,10425,96.82358
ask,10426,97.023705
ask,10427,97.144516
ask,10428,97.21837
ask,10429,97.27244
ask,10430,97.31386
ask,10431,97.34427
ask,10432,97.36568
ask,10433,97.27267
ask,10434,97.320366
ask,10435,97.35066
ask,10436,97.36818
ask,10437,97.380325
ask,10438,97.06668
ask,10439,97.18603
ask,10440,97.26095
ask,10441,97.1815
ask,10442,96.99464
ask,10443,97.13391
ask,10444,97.221794
ask,10445,97.27513
ask,10446,97.31339
ask,10447,97.3425
ask,10448,97.041115
ask,10449,97.16879
ask,10450,97.24943
ask,10451,96.97235
ask,10452,97.11679
ask,10453,96.7816
ask,10454,96.98837
ask,10455,97.12207
ask,10456,97.20392
ask,10457,96.93972
ask,10458,97.096565
ask,10459,96.876625
ask,10460,97.05061
ask,10461,96.93772
ask,10462,97.0873
ask,10463,97.11025
ask,10464,96.66009
ask,10465,96.912186
ask,10466,97.0737
ask,10467,97.00819
ask,10468,97.13232
ask,10469,97.057594
ask,10470,96.84852
ask,10471,96.71371
ask,10472,96.94485
ask,10473,97.08802
ask,10474,97.17887
